moteur;question;categorie_attendue;categorie_obtenue;classification;branche;refus_attendu;refus_obtenu;rappel;sources
lexical;"Quel est le chiffre d'affaires ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quel est le chiffre d'affaires en juillet ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quel chiffre d'affaires en 2024 ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quel est le montant des ventes ce mois-ci ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Combien le village a-t-il vendu cette année ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quelles sont les recettes de commission ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quel est le montant des commissions en mars 2025 ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Combien de ventes ont été enregistrées ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Combien de ventes en juin 2024 ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quel est le panier moyen ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quelles sont les dettes envers les artisans ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Combien reste-t-il à reverser ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quel est le solde de caisse ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Combien y a-t-il en caisse ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quel est le dernier reversement ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quelle est la dernière campagne de reversement ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quelles sont les ventes par boutique ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quelles sont les ventes par artisan ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quelles sont les ventes par vendeur en 2025 ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quelle est la provenance des clients ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quel artisan vend le plus ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quelle boutique vend le plus en juillet ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quel est le taux d'occupation du parc ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Combien d'espaces sont occupés ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quels produits sont en rupture de stock ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Combien de produits en rupture ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quels sont les produits isolés du catalogue ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quels sont les segments saturés ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
lexical;"Quelle est la situation de l'artisan ?";AGREGATION;AGREGATION;juste;PRECISION;non;non;;
lexical;"Quelle est l'activité de la boutique ?";AGREGATION;AGREGATION;juste;PRECISION;non;non;;
lexical;"Quels artisans travaillent la vannerie ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ12-0038 — Collier | BTQ12-0005 — sac | BTQ12-0008 — chapeau | BTQ12-0004 — babouche | BTQ12-0019 — colier"
lexical;"Qui fait de la sculpture au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ08-0019 — chapeaux | BTQ07-0001 — bracelet | BTQ08-0005 — Babouche | BTQ08-0006 — colier | BTQ07-0002 — masque"
lexical;"Quels artisans travaillent le bronze ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;non;oui;0.000;
lexical;"Que propose l'agroalimentaire au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ03-0002 — miel | BTQ06-0001 — biscuit | BTQ01-0007 — Vin | BTQ03-0008 — Propolis | BTQ03-0011 — Bougie"
lexical;"Quels artisans font du tissage ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;non;oui;0.000;
lexical;"Qui travaille le cuir ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"ART-2026-0009 — NSO YONKA - Shoe Factory | BTQ12-0001 — chaussure"
lexical;"Quels artisans font de la menuiserie ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"BTQ09-0001 — bracelet | BTQ09-0005 — bracelets | BTQ09-0018 — collier | BTQ09-0002 — boucles | BTQ09-0004 — boucle"
lexical;"Que trouve-t-on en cosmétiques ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;1.000;"BTQ00-0036 — Shampoing cosmétique | BTQ06-0021 — savon 5l | BTQ06-0022 — savon 1l | BTQ06-0023 — savon 1/2l | BTQ06-0008 — vinaigre"
lexical;"Quels produits relèvent de la décoration ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;1.000;"BTQ00-0019 — tableau de décoration | BTQ00-0029 — tableau décoration | BTQ09-0013 — tableau décoration | BTQ09-0008 — Décoration murale | ART-2026-0022 — Mme Justina"
lexical;"Quels artisans pratiquent la broderie traditionnelle ?";DESCRIPTIVE;DESCRIPTIVE;juste;RECHERCHE;non;non;0.000;"ART-2026-0007 — NKONDZOU Thomas | ART-2026-0008 — DJOKO POKAM ALEX | ART-2026-0040 — BASSIE MOFO Julius | ART-2026-0019 — TSANMAT"
lexical;"Quels artisans soufflent le verre de Murano ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
lexical;"Où acheter des skis de fond au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
lexical;"Quel est le taux de change du yen japonais ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
lexical;"Quels artisans réparent les moteurs diesel ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
lexical;"Le village propose-t-il des cours de plongée sous-marine ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
lexical;"Quelle est la météo prévue pour la semaine prochaine ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
lexical;"Qui vend des semi-conducteurs au village ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
lexical;"Trouve-t-on de la porcelaine de Limoges ici ?";DESCRIPTIVE;DESCRIPTIVE;juste;REFUS;oui;oui;;
mots_cles;"Quel est le chiffre d'affaires ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quel est le chiffre d'affaires en juillet ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quel chiffre d'affaires en 2024 ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quel est le montant des ventes ce mois-ci ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Combien le village a-t-il vendu cette année ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quelles sont les recettes de commission ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quel est le montant des commissions en mars 2025 ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Combien de ventes ont été enregistrées ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Combien de ventes en juin 2024 ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quel est le panier moyen ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quelles sont les dettes envers les artisans ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Combien reste-t-il à reverser ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quel est le solde de caisse ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Combien y a-t-il en caisse ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quel est le dernier reversement ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quelle est la dernière campagne de reversement ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quelles sont les ventes par boutique ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quelles sont les ventes par artisan ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quelles sont les ventes par vendeur en 2025 ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quelle est la provenance des clients ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quel artisan vend le plus ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quelle boutique vend le plus en juillet ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quel est le taux d'occupation du parc ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Combien d'espaces sont occupés ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
mots_cles;"Quels produits sont en rupture de stock ?";AGREGATION;AGREGATION;juste;CALCUL;non;non;;
